catalog_year,volume,effective_term,graduate_by,source_pdf,source_docx,active,notes
2021-2022,55,2021FA,2026-08-31,,2021-2022_Catalog.docx,true,DOCX-first active catalog import target
2022-2023,56,2022FA,2027-08-31,,2022-2023_Catalog.docx,true,DOCX-first active catalog import target
2023-2024,57,2023FA,2028-08-31,,2023-2024_Catalog.docx,true,DOCX-first active catalog import target
2024-2025,58,2024FA,2029-08-31,,2024-2025_Catalog.docx,true,DOCX-first active catalog import target
2025-2026,59,2025FA,2030-08-31,,2025-2026_Catalog.docx,true,DOCX-first active catalog import target
